timestamp,x,y
1.75689e+09,-1.41442,-3.42781
1.75689e+09,-1.41592,-3.42977
1.75689e+09,-1.41975,-3.42758
1.75689e+09,-1.41552,-3.42739
1.75689e+09,-1.41602,-3.42764
1.75689e+09,-1.41728,-3.42847
1.75689e+09,-1.41709,-3.42705
1.75689e+09,-1.41853,-3.42684
1.75689e+09,-1.4148,-3.4268
1.75689e+09,-1.41999,-3.42548
1.75689e+09,-1.41452,-3.42736
1.75689e+09,-1.42012,-3.42586
1.75689e+09,-1.41657,-3.42773
1.75689e+09,-1.41751,-3.42662
1.75689e+09,-1.41631,-3.42817
1.75689e+09,-1.41613,-3.42844
1.75689e+09,-1.4165,-3.42774
1.75689e+09,-1.41627,-3.42595
1.75689e+09,-1.41762,-3.42695
1.75689e+09,-1.41441,-3.42895
1.75689e+09,-1.4154,-3.43039
1.75689e+09,-1.41387,-3.42791
1.75689e+09,-1.4137,-3.42874
1.75689e+09,-1.41814,-3.42647
1.75689e+09,-1.41559,-3.42674
1.75689e+09,-1.41609,-3.42636
1.75689e+09,-1.41502,-3.42903
1.75689e+09,-1.41485,-3.42848
1.75689e+09,-1.41347,-3.42772
1.75689e+09,-1.4156,-3.42812
1.75689e+09,-1.41509,-3.42718
1.75689e+09,-1.41898,-3.42561
1.75689e+09,-1.41766,-3.42668
1.75689e+09,-1.41501,-3.4288
1.75689e+09,-1.41602,-3.42942
1.75689e+09,-1.41606,-3.42616
1.75689e+09,-1.4152,-3.42906
1.75689e+09,-1.4126,-3.43011
1.75689e+09,-1.4158,-3.42826
1.75689e+09,-1.41773,-3.42534
1.75689e+09,-1.41617,-3.4271
1.75689e+09,-1.41797,-3.42706
1.75689e+09,-1.41805,-3.42602
1.75689e+09,-1.41797,-3.42715
1.75689e+09,-1.41496,-3.42901
1.75689e+09,-1.41723,-3.42676
1.75689e+09,-1.4184,-3.42865
1.75689e+09,-1.4158,-3.42762
1.75689e+09,-1.41513,-3.42689
1.75689e+09,-1.4155,-3.42646
1.75689e+09,-1.41568,-3.42667
1.75689e+09,-1.4159,-3.4267
1.75689e+09,-1.41503,-3.42796
1.75689e+09,-1.41666,-3.42709
1.75689e+09,-1.41663,-3.42594
1.75689e+09,-1.41734,-3.42589
1.75689e+09,-1.41518,-3.42839
1.75689e+09,-1.41642,-3.42575
1.75689e+09,-1.41602,-3.42897
1.75689e+09,-1.41548,-3.42918
1.75689e+09,-1.41565,-3.42701
1.75689e+09,-1.41573,-3.4296
1.75689e+09,-1.4187,-3.42528
1.75689e+09,-1.41557,-3.427
1.75689e+09,-1.41495,-3.42812
1.75689e+09,-1.41681,-3.42467
1.75689e+09,-1.41681,-3.42584
1.75689e+09,-1.41394,-3.4253
1.75689e+09,-1.41017,-3.42446
1.75689e+09,-1.40953,-3.42175
1.75689e+09,-1.40021,-3.42459
1.75689e+09,-1.39706,-3.41785
1.75689e+09,-1.38206,-3.4115
1.75689e+09,-1.35893,-3.4119
1.75689e+09,-1.33435,-3.4066
1.75689e+09,-1.31153,-3.39857
1.75689e+09,-1.27802,-3.39649
1.75689e+09,-1.24546,-3.39212
1.75689e+09,-1.21486,-3.38454
1.75689e+09,-1.18562,-3.37771
1.75689e+09,-1.15403,-3.37279
1.75689e+09,-1.13111,-3.36884
1.75689e+09,-1.111,-3.36059
1.75689e+09,-1.0887,-3.34969
1.75689e+09,-1.06397,-3.33625
1.75689e+09,-1.03332,-3.32136
1.75689e+09,-1.01079,-3.3083
1.75689e+09,-0.973358,-3.29566
1.75689e+09,-0.952919,-3.2867
1.75689e+09,-0.918705,-3.28039
1.75689e+09,-0.911865,-3.28035
1.75689e+09,-0.880137,-3.27551
1.75689e+09,-0.872816,-3.27378
1.75689e+09,-0.865691,-3.27107
1.75689e+09,-0.868539,-3.26878
1.75689e+09,-0.873696,-3.26949
1.75689e+09,-0.87724,-3.27813
1.75689e+09,-0.889839,-3.28239
1.75689e+09,-0.90698,-3.28201
1.75689e+09,-0.917209,-3.28506
1.75689e+09,-0.944871,-3.29154
1.75689e+09,-0.961581,-3.29232
1.75689e+09,-0.986536,-3.29321
1.75689e+09,-1.02188,-3.28831
1.75689e+09,-1.04906,-3.28373
1.75689e+09,-1.08166,-3.27091
1.75689e+09,-1.11226,-3.25498
1.75689e+09,-1.1317,-3.24093
1.75689e+09,-1.14089,-3.22881
1.75689e+09,-1.14616,-3.19841
1.75689e+09,-1.1369,-3.17902
1.75689e+09,-1.13347,-3.15415
1.75689e+09,-1.11849,-3.13897
1.75689e+09,-1.11485,-3.10485
1.75689e+09,-1.11009,-3.08834
1.75689e+09,-1.09916,-3.06631
1.75689e+09,-1.09778,-3.04134
1.75689e+09,-1.09987,-3.02157
1.75689e+09,-1.08811,-3.01403
1.75689e+09,-1.09095,-2.99795
1.75689e+09,-1.09328,-2.98214
1.75689e+09,-1.09499,-2.96252
1.75689e+09,-1.09603,-2.94408
1.75689e+09,-1.0995,-2.92766
1.75689e+09,-1.10604,-2.89666
1.75689e+09,-1.10821,-2.88211
1.75689e+09,-1.12695,-2.84237
1.75689e+09,-1.13843,-2.80254
1.75689e+09,-1.141,-2.77666
1.75689e+09,-1.15309,-2.74292
1.75689e+09,-1.15884,-2.711
1.75689e+09,-1.16836,-2.67164
1.75689e+09,-1.16994,-2.64697
1.75689e+09,-1.17385,-2.60909
1.75689e+09,-1.17691,-2.57121
1.75689e+09,-1.17534,-2.56182
1.75689e+09,-1.16974,-2.50052
1.75689e+09,-1.16971,-2.419
1.75689e+09,-1.15004,-2.38768
1.75689e+09,-1.14611,-2.30863
1.75689e+09,-1.10694,-2.32407
1.75689e+09,-1.08549,-2.29027
1.75689e+09,-1.05775,-2.26871
1.75689e+09,-1.03133,-2.24731
1.75689e+09,-1.00107,-2.23691
1.75689e+09,-0.977371,-2.23324
1.75689e+09,-0.950746,-2.21271
1.75689e+09,-0.918383,-2.20351
1.75689e+09,-0.882367,-2.20311
1.75689e+09,-0.846924,-2.19899
1.75689e+09,-0.793953,-2.20864
1.75689e+09,-0.75568,-2.2169
1.75689e+09,-0.727823,-2.22989
1.75689e+09,-0.688229,-2.24472
1.75689e+09,-0.667349,-2.2395
1.75689e+09,-0.621546,-2.26107
1.75689e+09,-0.581363,-2.28927
1.75689e+09,-0.528518,-2.3232
1.75689e+09,-0.484808,-2.35537
1.75689e+09,-0.435617,-2.38906
1.75689e+09,-0.372298,-2.43647
1.75689e+09,-0.326923,-2.45821
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.235856,-2.43714
1.75689e+09,-0.234211,-2.47296
1.75689e+09,-0.234211,-2.47296
1.75689e+09,-0.254822,-2.36628
1.75689e+09,-0.253684,-2.36383
1.75689e+09,-0.253684,-2.36383
1.75689e+09,-0.285751,-2.21354
1.75689e+09,-0.278115,-2.26537
1.75689e+09,-0.276184,-2.29669
1.75689e+09,-0.286691,-2.22809
1.75689e+09,-0.291462,-2.18466
1.75689e+09,-0.289509,-2.12443
1.75689e+09,-0.283138,-2.10109
1.75689e+09,-0.271264,-2.06689
1.75689e+09,-0.254816,-2.02701
1.75689e+09,-0.238664,-2.014
1.75689e+09,-0.210755,-1.98534
1.75689e+09,-0.171204,-1.96517
1.75689e+09,-0.141787,-1.9488
1.75689e+09,-0.106862,-1.94214
1.75689e+09,-0.0814574,-1.93449
1.75689e+09,-0.0500835,-1.93662
1.75689e+09,-0.0216539,-1.92933
1.75689e+09,0.00160999,-1.94639
1.75689e+09,0.0337492,-1.9495
1.75689e+09,0.0740211,-1.96869
1.75689e+09,0.109092,-1.97771
1.75689e+09,0.135796,-2.00521
1.75689e+09,0.162807,-2.01943
1.75689e+09,0.214466,-2.07989
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.42633,-1.70746
1.75689e+09,0.360152,-1.74125
1.75689e+09,0.342342,-1.69834
1.75689e+09,0.33453,-1.66168
1.75689e+09,0.337144,-1.63227
1.75689e+09,0.338313,-1.63215
1.75689e+09,0.338313,-1.63215
1.75689e+09,0.35503,-1.61314
1.75689e+09,0.360992,-1.59606
1.75689e+09,0.369853,-1.58339
1.75689e+09,0.37725,-1.60305
1.75689e+09,0.380431,-1.61201
1.75689e+09,0.382187,-1.60102
1.75689e+09,0.381585,-1.61443
1.75689e+09,0.380238,-1.60526
1.75689e+09,0.378726,-1.58737
1.75689e+09,0.378801,-1.58294
1.75689e+09,0.372469,-1.58264
1.75689e+09,0.366892,-1.58969
1.75689e+09,0.357891,-1.58456
1.75689e+09,0.344923,-1.59782
1.75689e+09,0.336085,-1.60464
1.75689e+09,0.325676,-1.60531
1.75689e+09,0.306887,-1.60637
1.75689e+09,0.283248,-1.6073
1.75689e+09,0.235778,-1.58048
1.75689e+09,0.229412,-1.55166
1.75689e+09,0.19353,-1.49383
1.75689e+09,0.164787,-1.48948
1.75689e+09,0.141681,-1.49397
1.75689e+09,0.122535,-1.48211
1.75689e+09,0.103971,-1.48367
1.75689e+09,0.103971,-1.48367
1.75689e+09,0.103971,-1.48367
1.75689e+09,0.0832039,-1.46649
1.75689e+09,0.0832039,-1.46649
1.75689e+09,0.0832039,-1.46649
1.75689e+09,0.0309215,-1.46541
1.75689e+09,0.025565,-1.45733
1.75689e+09,-0.00226681,-1.46269
1.75689e+09,-0.0237515,-1.46481
1.75689e+09,-0.0336144,-1.47761
1.75689e+09,-0.0691758,-1.46566
1.75689e+09,-0.0851673,-1.46567
1.75689e+09,-0.0851673,-1.46567
1.75689e+09,-0.0851673,-1.46567
1.75689e+09,-0.0851673,-1.46567
1.75689e+09,-0.188069,-1.5017
1.75689e+09,-0.210137,-1.52005
1.75689e+09,-0.225873,-1.52198
1.75689e+09,-0.262361,-1.52151
1.75689e+09,-0.270752,-1.57163
1.75689e+09,-0.288419,-1.58858
1.75689e+09,-0.346212,-1.58058
1.75689e+09,-0.363079,-1.60393
1.75689e+09,-0.395831,-1.62369
1.75689e+09,-0.405944,-1.62581
1.75689e+09,-0.422932,-1.63103
1.75689e+09,-0.461918,-1.65196
1.75689e+09,-0.499162,-1.66426
1.75689e+09,-0.510574,-1.66748
1.75689e+09,-0.577359,-1.67932
1.75689e+09,-0.612755,-1.67992
1.75689e+09,-0.651677,-1.67277
1.75689e+09,-0.688187,-1.66619
1.75689e+09,-0.736776,-1.67166
1.75689e+09,-0.77845,-1.65044
1.75689e+09,-0.825613,-1.65298
1.75689e+09,-0.843901,-1.62646
1.75689e+09,-0.897119,-1.63089
1.75689e+09,-0.932247,-1.65111
1.75689e+09,-0.978668,-1.63307
1.75689e+09,-1.00981,-1.62103
1.75689e+09,-1.0655,-1.5485
1.75689e+09,-1.06793,-1.60049
1.75689e+09,-1.06793,-1.60049
1.75689e+09,-1.06793,-1.60049
1.75689e+09,-1.16655,-1.56871
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
1.75689e+09,-1.21421,-1.49266
